tweets,likes,time
"@waitmanb The Art of War by Sun Tzu, not the one by Machiavelli.  I don't necessarily read it for historical context, but sometimes to get through personal battles. I have sent copies of it to my friends struggling with cancer and chronic illness. It sounds painfully cliche, but it helps.",0,2021-07-07 12:53:34
"It's almost like learnt wisdom of dealing with a virus was the wise thing to follow.
No.... Lockdown your people 100% said CCP.
CCP did it to &lt;1%of theirs and it eradicated the beast.
Xi Ji, you're vile, but a master tactician in the art of war.
What fools are our leaders. https://t.co/EBzjEKO1z9",2,2021-07-07 12:36:36
"#LeonardoDaVinci was an ambitious autodidact and studied contemporary specialist technical literature.  Based on our #LeonardoBerlin2021 exhibition @sbb_news, here's a 🧵 on Leonardo's technical interests, the art of war, and dragons 🐉...

#LeonardoBerlin2021 https://t.co/fEIZ35GDFe",13,2021-07-07 12:26:14
"@lsarsour The Art of War by @lsarsour. 
1. Start a conflict 
2. Lose .
3. Walk away with your tail between your legs. 
4. Don't learn from your mistakes.
5. Start another conflict.
The rut continues. 
Sounds familiar doesn't it?",0,2021-07-07 12:17:48
"Now offering $15 a month for 16 months to whoever reads The Art of War for me and validates my decision to not read it because it gives off a toxic, fratty vibe.",5,2021-07-07 12:13:41
"@JohnySibuea Kalau di Tingkok ada Zhuge Liang dan Sun Tzu dengan buku the art of warnya, di Italy juga ada Niccolo Machiavelli yg juga pengarang buku strategi perang the art of war yg mungkin banyak diadopsi oleh gaya permainan sepak bolanya",0,2021-07-07 12:03:55
@IswardyMorni Who’s playing the art of war in the background? https://t.co/EGESCZ94v7,8,2021-07-07 12:01:37
"We must master the art of peace in addition to the art of war. We achieve victory by the art of war, victory is won through strategy, strategy is derived from the art of peace",0,2021-07-07 11:54:31
"@GMM1702 @jeroenscholte50 Was er niet ergens een quote van Sun Tsu (schrijver van ""The Art of War"") dat je niet kunt slagen als je de tegenstander niet respecteert?",2,2021-07-07 11:53:03
"The Art of War
By #GarethSouthgate
Strategy 
Auf Wiedersehen Germany Edition 2020

A footie classic about how #England’s commander in chief, out thought Germany for the first time in a major tournament since 66. #Eng #ItsComingHome #EURO2020 https://t.co/IWDwy223ze",1,2021-07-07 11:37:56
"@cbkwgl No where. Sun Tzu principles are essentially derived from the Chanakya Neeti. Actually, even before that, a lot of stuff that Sun Tzu says in The Art of War, have already been lived and realized in our Mahabharata.",2,2021-07-07 10:15:36
"“Simulated disorder postulates perfect discipline; simulated fear postulates courage; simulated weakness postulates strength.” – Sun Tzu, The Art of War

Kehebatan kerajaan gagal",0,2021-07-07 09:54:38
"@DenK_kind ""If you knw the enemy &amp; knw yourself, u need not fear the result of a hundred battles. If you knw yourself but not the enemy, 4 every victory gained you will also suffer a defeat. If you knw neither the enemy nor yourself, u will succumb in every battle.""
Sun Tzu, The Art of War.",1,2021-07-07 09:47:14
@laurenthehough Shocked that The Art of War isn't on that list. I thought these dudes loved that shit??,0,2021-07-07 09:47:13
@casualreturn @TheArtOfWar6 @WonderbreadMMA Hating on Wonderboy? Did you actually read the art of war? You know sun-tzu is a just bleed god? I'm his bookie he has wonderboy by Dec.,6,2021-07-07 09:40:46
Sun Tzu ~ The Art of War https://t.co/SFM6OGYf6S,2,2021-07-07 09:37:28
The art of war is not always of obvious battlefields. Join me this evening for an online talk about how war shaped the lives of the artists of the early twentieth century. https://t.co/BaWn5CLXPB https://t.co/Ga6op9EEjp,44,2021-07-07 09:31:21
"""Attack him where he is unprepared, appear where you are not expected."" ~ Sun Tzu, The Art of War",114,2021-07-07 09:30:31
"@treamigos @Cylinderhatt “The captured soldiers should be kindly treated and kept.”

― Sun Tzu, The Art of War",3,2021-07-07 08:50:16
"""Just block the mix up bro"" - Sun Tzu (The Art Of War)",0,2021-07-07 08:31:49
"As someone who remembers the excesses of the 80s/90s very well, I'm surprised that The Art of War, The Book of Five Rings, The Prince, and Atlas Shrugged weren't on there. (I've read all of those, actually.) https://t.co/BYQfNFR4ZF",2,2021-07-07 08:28:44
"@AndrewMwenda The 'Art Of War' section 5
When the war is not in your favour retreat and regroup , then attack when the enemy withdraws,. The Taliban are very wise",2,2021-07-07 08:23:10
"@Subvenioconsult leave opening for a surrounded enemy army, never pressure a desperate enemy army. This is the art of war. The Art of War by Sun Tzu",1,2021-07-07 08:14:35
"@Dominic2306 ""To win without fighting is best."" Sun tzu, the art of war.",1,2021-07-07 08:14:35
"@mindset_168 “Appear weak when you are strong, and strong when you are weak.”
― Sun Tzu, The Art of War",4,2021-07-07 08:06:59
The art of war,0,2021-07-07 07:58:12
"The art of #Parenting is comparable to The Art of War. Anyone can be a parent,  to succeed you need skills, tactics and a hard wall to whack your head on. https://t.co/t4RbS4eafo #humour",0,2021-07-07 07:40:24
"1984 and The Art of War are two books you should read if you have not already done so.

#thatisall",1,2021-07-07 07:39:02
@craigturnbull_ @australian @ScottMorrisonMP @JoshFrydenberg I agree a hard line is warranted. It's so clear what ccp are doing - so much for the art of war! However declaring independence will not result in a strong benefit vs the risk of all put war. Taiwan already has defacto independence,0,2021-07-07 07:08:33
"the Art of War is to win battles without shedding blood.
#Somebodyhavesaidit 

#niriksshk",0,2021-07-07 07:07:02
"list book online new all book fre | The art of war (2016)
https://t.co/vkvbZTdaQY",0,2021-07-07 07:05:11
"@mtakagogoe @DZumaSambudla @ProfJNMoyo @iNdaba_ @Duduzane__Zuma @niehaus_carl @PresJGZuma ""The Art of War"" tries to make is that information does matter, and an educated guess is better than a gut decision. Sun Tzu thought that generals should be adept at the ""military calculus"" of taking into account anything and everything that could affect the outcome of a battle",1,2021-07-07 06:42:14
@walley02070151 Yep he was a West Point Grad when West Point didnt teach anything but the art of war.,0,2021-07-07 06:32:23
@mtakagogoe @DZumaSambudla @ProfJNMoyo @iNdaba_ @Duduzane__Zuma @niehaus_carl @PresJGZuma Zuma read The Art of War. This I am sure.,1,2021-07-07 06:28:49
"THE STORY SO FAR (part 5)

THE ART OF WAR
By @GarethSouthgate 
Strategy 
Auf Wiedersehen Germany Edition 2020

A footie classic about how #England’s commander in chief, out thought Germany for the first time in a major tournament since 66.
#ENG #EURO2020 #ItsComingHome https://t.co/oXhyJBYgEW",4,2021-07-07 06:25:35
